ano,mes,id_sh4,id_pais,sigla_uf,id_municipio,peso_liquido_kg,valor_fob_dolar
1999,10,2009,87,SP,3503208,1053110,982058
1999,2,3301,383,SP,3503208,13840,8027
1999,2,2009,271,SP,3503208,38880,54726
2000,1,2009,611,SP,3503208,18550,22909
2000,1,2009,87,SP,3503208,1377589,1308710
2000,1,2009,383,SP,3503208,456595,388106
2000,1,2009,163,SP,3503208,18550,23282
1999,12,3301,383,SP,3503208,41520,22836
1999,12,2008,47,SP,3503208,2250,1229
1999,12,2009,611,SP,3503208,18550,22909
1999,12,2009,47,SP,3503208,15900,19178
1999,12,2009,87,SP,3503208,2916000,2754648
1999,3,2009,163,SP,3503208,18550,25354
1999,3,1701,372,SP,3503208,3000000,438000
1999,3,2009,271,SP,3503208,19440,27363
1999,3,8802,863,SP,3503208,3715,2800000
1999,4,2009,611,SP,3503208,37100,55650
1999,4,3301,754,SP,3503208,8304,4567
1999,4,2009,271,SP,3503208,116640,164176
1999,9,2009,163,SP,3503208,18550,21482
1999,9,2009,87,SP,3503208,5850944,5850944
1999,9,2009,611,SP,3503208,55650,83475
1999,8,3301,87,SP,3503208,15425,13768
1999,8,2902,576,SP,3503208,27680,11072
1999,8,2009,87,SP,3503208,3664770,3664770
1999,8,3301,383,SP,3503208,27680,11072
1999,8,2009,163,SP,3503208,18550,21481
1999,6,2009,611,SP,3503208,55650,83475
1999,6,3301,767,SP,3503208,516,3870
1999,6,2009,87,SP,3503208,1982000,1982000
1999,6,2009,271,SP,3503208,97200,135314
1999,11,2009,611,SP,3503208,18550,22909
1999,11,1701,676,SP,3503208,7500000,1192768
1999,11,3301,383,SP,3503208,69200,38060
1999,11,2009,87,SP,3503208,7607462,7095053
1999,11,6115,611,SP,3503208,329,11556
2000,2,2009,611,SP,3503208,37100,45819
2000,2,2009,87,SP,3503208,7900114,7505109
2000,2,2009,383,SP,3503208,92750,78838
2000,2,2008,47,SP,3503208,2250,1229
2000,2,2009,47,SP,3503208,15900,19178
2000,2,3301,754,SP,3503208,6401,7041
1999,7,3301,754,SP,3503208,8304,4567
1999,7,2009,87,SP,3503208,4618440,4618440
1999,7,2009,611,SP,3503208,18550,27825
1999,5,2009,271,SP,3503208,38880,54726
1999,5,2009,87,SP,3503208,777600,660960
2000,12,2009,383,SP,3503208,327075,335252
2000,12,2009,611,SP,3503208,18550,22909
2000,12,2009,47,SP,3503208,16960,13130
2000,12,8422,735,SP,3503208,45,820
2000,12,2008,47,SP,3503208,2550,1464
2000,12,3301,754,SP,3503208,4498,4948
2000,12,3301,87,SP,3503208,13840,2768
2000,11,3301,827,SP,3503208,13840,2768
2000,11,2009,611,SP,3503208,18550,22909
2000,11,2009,383,SP,3503208,204050,107635
2000,11,2008,47,SP,3503208,2400,1259
2000,11,2710,383,SP,3503208,2,67
2000,11,3301,383,SP,3503208,27680,5536
2000,11,8501,379,SP,3503208,10475,11836
2000,11,2009,47,SP,3503208,16960,14833
