sigla_uf,id_municipio,quantidade_bovinos_total
PA,1507953,47556
PA,1507961,0
PA,1507979,22573
PA,1508001,42559
PA,1508035,14906
PA,1508050,63910
PA,1508084,231792
PA,1508100,54745
PA,1508126,41154
PA,1508159,200501
PA,1508209,4187
PA,1508308,90069
PA,1508357,101220
PA,1508407,261341
AP,1600055,366
AP,1600105,7804
AP,1600154,695
AP,1600204,1253
AP,1600212,290
AP,1600238,471
AP,1600253,588
AP,1600279,1770
AP,1600303,5989
AP,1600402,530
AP,1600501,2237
AP,1600535,4146
AP,1600550,2425
AP,1600600,1199
AP,1600709,5670
AP,1600808,1048
TO,1700251,69883
TO,1700301,8226
TO,1700350,50292
TO,1700400,29279
TO,1700707,44325
TO,1701002,80768
TO,1701051,15967
TO,1701101,17273
TO,1701309,65609
TO,1701903,61024
TO,1702000,281253
TO,1702109,183378
TO,1702158,45374
TO,1702208,119465
TO,1702307,94595
TO,1702406,124320
TO,1702554,33330
TO,1702703,22997
TO,1702901,9057
TO,1703008,47995
TO,1703057,109276
TO,1703073,13798
TO,1703107,37615
TO,1703206,76614
TO,1703305,17061
TO,1703602,36673
TO,1703701,36676
TO,1703800,23496
TO,1703826,6480
TO,1703842,22037
TO,1703867,59904
TO,1703883,31973
TO,1703891,14847
TO,1703909,29042
TO,1704105,14422
TO,1704600,28952
TO,1705102,21847
TO,1705508,81727
TO,1705557,13483
TO,1705607,21850
TO,1706001,52578
TO,1706100,56697
TO,1706258,36049
TO,1706506,14233
TO,1707009,25774
TO,1707108,710
TO,1707207,127335
TO,1707306,99906
TO,1707405,20024
TO,1707553,13631
TO,1707652,85761
TO,1707702,55474
TO,1708205,202850
TO,1708254,24370
TO,1708304,66814
TO,1709005,41387
TO,1709302,69448
TO,1709500,72466
TO,1709807,11101
TO,1710508,58203
TO,1710706,31329
TO,1710904,42148
TO,1711100,92758
TO,1711506,66604
TO,1711803,23609
TO,1711902,87050
TO,1711951,10865
TO,1712009,3319
TO,1712157,16940
TO,1712405,16527
TO,1712454,6667
TO,1712504,78641
TO,1712702,3197
TO,1712801,12416
TO,1713205,98836
TO,1713304,45753
TO,1713601,47416
TO,1713700,386
TO,1713809,26066
TO,1713957,57655
TO,1714203,39230
TO,1714302,7930
TO,1714880,66490
TO,1715002,18569
TO,1715101,11649
TO,1715150,16547
TO,1715259,9924
TO,1715507,4752
TO,1715705,48227
TO,1715754,48425
TO,1716109,57941
TO,1716208,73043
TO,1716307,101351
TO,1716505,18095
TO,1716604,149654
TO,1716653,101422
TO,1716703,71984
TO,1717008,53686
TO,1717206,69963
TO,1717503,162498
TO,1717800,17841
TO,1717909,42659
TO,1718006,6625
TO,1718204,91816
TO,1718303,12434
TO,1718402,31951
TO,1718451,17651
TO,1718501,26841
TO,1718550,32541
TO,1718659,544
TO,1718709,16570
TO,1718758,45431
TO,1718808,8234
TO,1718840,108970
TO,1718865,85478
TO,1718881,21899
TO,1718899,70172
TO,1718907,38381
TO,1719004,266
TO,1720002,7088
TO,1720101,25830
TO,1720150,2581
TO,1720200,18544
TO,1720259,17813
TO,1720309,14809
TO,1720499,34891
TO,1720655,30671
TO,1720804,24895
TO,1720853,37057
TO,1720903,45909
TO,1720937,11962
TO,1720978,80168
TO,1721000,17458
TO,1721109,10407
TO,1721208,15100
TO,1721257,7391
TO,1721307,11323
TO,1722081,19468
TO,1722107,93701
MA,2100055,261982
MA,2100105,730
MA,2100154,1692
MA,2100204,2199
MA,2100303,3938
MA,2100402,24380
MA,2100436,9928
MA,2100477,43543
MA,2100501,23164
MA,2100550,10478
MA,2100600,188959
MA,2100709,17830
MA,2100808,1501
MA,2100832,267
MA,2100873,30090
MA,2100907,7965
MA,2100956,71378
MA,2101004,27718
MA,2101103,270
MA,2101202,106432
MA,2101251,3117
MA,2101301,1676
MA,2101350,4587
MA,2101400,44778
MA,2101509,5457
MA,2101608,77047
MA,2101707,3260
MA,2101731,358
MA,2101772,7060
MA,2101806,7772
MA,2101905,8793
MA,2101939,9362
MA,2101970,9371
MA,2102002,89393
MA,2102036,63488
MA,2102077,33482
MA,2102101,10376
MA,2102150,38367
MA,2102200,5768
MA,2102309,21820
MA,2102325,70358
MA,2102358,54176
MA,2102374,468
MA,2102408,3180
MA,2102507,13597
MA,2102556,41775
MA,2102606,6892
MA,2102705,5735
MA,2102754,22020
MA,2102804,86610
MA,2102903,7914
MA,2103000,19947
MA,2103109,568
MA,2103125,418
MA,2103158,24175
MA,2103174,32302
MA,2103208,12240
MA,2103257,76634
MA,2103307,62975
MA,2103406,2164
MA,2103505,24143
MA,2103554,13091
MA,2103604,25889
MA,2103703,802
MA,2103752,13407
MA,2103802,15225
MA,2103901,246
MA,2104008,15223
MA,2104057,93404
MA,2104073,56457
MA,2104081,12728
MA,2104099,84512
MA,2104107,53326
MA,2104206,11714
MA,2104305,5254
MA,2104404,23562
MA,2104503,20970
MA,2104552,27127
MA,2104602,26706
MA,2104628,6293
MA,2104651,33095
MA,2104677,17067
MA,2104701,9007
MA,2104800,127714
MA,2104909,529
MA,2105005,1330
MA,2105104,666
MA,2105153,9310
MA,2105203,14865
MA,2105302,67583
MA,2105351,29050
MA,2105401,7492
MA,2105427,97861
MA,2105450,7870
MA,2105476,37867
MA,2105500,82702
MA,2105609,14515
MA,2105658,16042
MA,2105708,52163
MA,2105807,13308
MA,2105906,34043
MA,2105922,17950
MA,2105948,8691
MA,2105963,25819
MA,2105989,39700
MA,2106003,7419
MA,2106102,19442
MA,2106201,5610
MA,2106300,6286
MA,2106326,22528
MA,2106359,24058
MA,2106375,28508
MA,2106409,1219
MA,2106508,17770
MA,2106607,12490
MA,2106631,12333
MA,2106672,5046
MA,2106706,26833
MA,2106755,9975
MA,2106805,1499
MA,2106904,24702
MA,2107001,28838
MA,2107100,692
MA,2107209,982
MA,2107258,21537
MA,2107308,5940
MA,2107357,27232
MA,2107407,54575
MA,2107456,4976
MA,2107506,571
MA,2107605,6219
MA,2107704,10917
MA,2107803,50040
MA,2107902,17653
MA,2108009,19410
MA,2108058,2742
MA,2108108,54395
MA,2108207,5654
MA,2108256,52102
MA,2108306,21553
MA,2108405,2845
MA,2108454,13758
MA,2108504,8739
MA,2108603,14522
MA,2108702,22888
MA,2108801,7108
MA,2108900,39628
MA,2109007,82949
MA,2109056,334
MA,2109106,34823
MA,2109205,271
MA,2109239,12800
MA,2109270,9335
MA,2109304,890
MA,2109403,518
MA,2109452,243
MA,2109502,87140
MA,2109551,35894
MA,2109601,428
MA,2109700,13970
MA,2109759,17206
MA,2109809,17196
MA,2109908,31889
MA,2110005,136724
MA,2110039,31768
MA,2110104,2881
MA,2110203,8066
MA,2110237,1044
MA,2110278,752
MA,2110302,23008
MA,2110401,1005
MA,2110500,4352
MA,2110609,5453
MA,2110658,6761
MA,2110708,30000
MA,2110807,11535
MA,2110856,58670
MA,2110906,8038
MA,2111003,12246
MA,2111029,18362
MA,2111052,78955
MA,2111078,4536
MA,2111102,11404
MA,2111201,668
MA,2111250,10901
MA,2111300,446
MA,2111409,41038
MA,2111508,17531
MA,2111532,31607
MA,2111573,37315
MA,2111607,19830
MA,2111631,17641
MA,2111672,9189
MA,2111706,5009
MA,2111722,16247
MA,2111748,9150
MA,2111763,49366
MA,2111789,1928
MA,2111805,90458
MA,2111904,11647
MA,2111953,3771
MA,2112001,10625
MA,2112100,7241
MA,2112209,9081
MA,2112233,6542
MA,2112274,8737
MA,2112308,107241
MA,2112407,10717
MA,2112456,12346
MA,2112506,3974
MA,2112605,1484
MA,2112704,6623
MA,2112803,14189
MA,2112852,67817
MA,2112902,15537
MA,2113009,66724
MA,2114007,52850
PI,2200053,6157
PI,2200103,1696
PI,2200202,2774
PI,2200251,5707
PI,2200277,3648
PI,2200301,14894
PI,2200400,7636
PI,2200459,7382
PI,2200509,9460
PI,2200608,4037
PI,2200707,2157
PI,2200806,2184
PI,2200905,6416
PI,2200954,3371
PI,2201002,3379
PI,2201051,4533
PI,2201101,11587
PI,2201150,13805
PI,2201176,2221
PI,2201200,16267
PI,2201309,4647
PI,2201408,1654
PI,2201507,15833
PI,2201556,5802
PI,2201572,1970
PI,2201606,4919
PI,2201705,8326
PI,2201739,2662
PI,2201770,1696
PI,2201804,3442
PI,2201903,27183
PI,2201919,2942
PI,2201929,1696
PI,2201945,1329
PI,2201960,3874
PI,2201988,5731
PI,2202000,5821
PI,2202026,7181
PI,2202059,5883
PI,2202075,4010
PI,2202083,1059
PI,2202091,3277
PI,2202109,7480
PI,2202117,2398
PI,2202133,2134
PI,2202174,4300
PI,2202208,22434
PI,2202251,8890
PI,2202307,9487
PI,2202406,4001
PI,2202455,3390
PI,2202505,4401
PI,2202539,8589
PI,2202554,4406
PI,2202604,11112
PI,2202653,4045
PI,2202703,7289
PI,2202711,2412
PI,2202729,2151
PI,2202737,2945
PI,2202752,6218
PI,2202778,7990
PI,2202802,3714
PI,2202851,2811
PI,2202901,30252
PI,2203008,21087
PI,2203107,5415
PI,2203206,20698
PI,2203230,14683
PI,2203255,3672
PI,2203271,2806
PI,2203305,1741
